timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-10-07,122.67,124.39,122.32,124.07,105.991420367,2815663,0,1
2020-10-06,122.58,124.83,121.59,121.97,104.19741712,3872265,0,1
2020-10-05,121.84,122.75,121.05,122.01,104.231588611,3050949,0,1
2020-10-02,119.04,121.75,118.82,120.57,103.001414956,2925228,0,1
2020-10-01,122.36,123.3,120.355,121.09,103.445644331,3211661,0,1
2020-09-30,121.38,122.91,120.8,121.67,103.941130942,3261235,0,1
2020-09-29,121.41,122.1858,120.21,120.94,103.317501242,2130564,0,1
2020-09-28,120.57,122.33,120.41,121.73,103.992388178,3509576,0,1
2020-09-25,117.6,119.41,116.94,118.95,101.617469595,2953686,0,1
2020-09-24,118.1,119.515,116.48,118.09,100.882782551,3546160,0,1
2020-09-23,120.8,121.59,118.43,118.83,101.514955123,3939398,0,1
2020-09-22,120.33,121.45,119.53,120.51,102.95015772,2957809,0,1
2020-09-21,120.48,120.7,118.58,120.25,102.728043033,5311441,0,1
2020-09-18,124.26,124.92,122.65,122.76,104.872304056,5391570,0,1
2020-09-17,122.62,125.55,121.97,124.92,106.717564538,3171262,0,1
2020-09-16,122.71,125.82,122.71,124.22,106.119563456,3789458,0,1
2020-09-15,122.82,123.4,122.24,122.44,104.598932133,2915221,0,1
2020-09-14,122.36,123.38,121.76,122.09,104.299931592,3641887,0,1
2020-09-11,121.39,122.7,120.73,121.46,103.761730618,3548091,0,1
2020-09-10,122.53,123.5764,120.24,120.56,102.992872084,3978805,0,1
2020-09-09,122.13,123.7,121.29,122.26,104.445160426,3770678,0,1
2020-09-08,122.16,122.87,120.71,121.21,103.548158803,5210292,0,1
2020-09-04,124.35,125.35,121.24,122.3,104.479331916,6018238,0,1
2020-09-03,128.19,129.95,123.65,124.45,106.316049525,5716750,0,1
2020-09-02,123.72,128.7,123.575,128.18,109.502541006,6592430,0,1
2020-09-01,122.85,123.95,122.15,123.4,105.419047902,3155623,0,1
2020-08-31,125.25,125.25,123.03,123.31,105.342162049,4827879,0,1
2020-08-28,124.96,125.3,124.2187,125.07,106.845707627,3099940,0,1
2020-08-27,124.6,125.1,123.98,124.65,106.486906978,3422654,0,1
2020-08-26,124.95,125.12,123.95,124.17,106.076849093,3388687,0,1
2020-08-25,126,126.82,124.49,124.64,106.478364105,2977697,0,1
2020-08-24,123.79,126.06,123.36,125.68,107.366822855,4070816,0,1
2020-08-21,123.01,123.4842,122.31,123.16,105.21401896,3385051,0,1
2020-08-20,123.2,124.04,122.81,123.15,105.205476087,2561164,0,1
2020-08-19,124.83,125.5,123.5,123.84,105.794934297,3743949,0,1
2020-08-18,125,125.5,124.24,124.92,106.717564538,2882355,0,1
2020-08-17,125.25,125.59,124.41,124.44,106.307506653,3336459,0,1
2020-08-14,124.2,125.56,123.91,125.27,107.016565079,2963753,0,1
2020-08-13,125.96,126.39,124.77,125.03,106.811536136,3171258,0,1
2020-08-12,127.61,127.79,125.876,126.7,108.238195861,3530177,0,1
2020-08-11,128.76,130.47,126.61,126.75,108.280910224,5001176,0,1
2020-08-10,125.42,127.24,125.1849,127.11,108.588453637,3968295,0,1
2020-08-07,123.5,125.07,123.21,124.96,106.751736028,3651226,1.63,1
2020-08-06,125,126.26,125,126.12,106.355391009,3417131,0,1
2020-08-05,126.73,126.75,124.61,125.45,105.790388536,3675400,0,1
2020-08-04,123.82,125.86,123.82,125.84,106.119270573,3431366,0,1
2020-08-03,123.5,124.41,122.15,124.31,104.829041043,3526574,0,1
2020-07-31,122.71,122.99,121.09,122.94,103.673737478,5277652,0,1
2020-07-30,123.71,123.9046,121.64,122.9,103.640005987,3988062,0,1
2020-07-29,124.56,125.99,124.07,125.32,105.68076119,2833141,0,1
2020-07-28,125.82,126.34,124.15,124.47,104.963967007,4178176,0,1
2020-07-27,124.86,126.32,124.71,126.21,106.431286864,3733547,0,1
2020-07-24,126.48,127.6459,125.5,125.79,106.077106209,3531076,0,1
2020-07-23,129.1,129.37,127.15,127.33,107.375768611,4220136,0,1
2020-07-22,125.9,129.47,125.8,128.67,108.505773558,8195366,0,1
2020-07-21,131.16,132.17,125.8,126.06,106.304793773,15356679,0,1
2020-07-20,126.07,127.07,125.14,126.37,106.566212828,9737157,0,1
2020-07-17,124.39,125.63,123.2,125.11,105.503670862,3983972,0,1
2020-07-16,122.68,124.48,122.16,124.01,104.576054861,4328856,0,1
2020-07-15,122.4,123.96,122.15,123,103.724334714,4470095,0,1
2020-07-14,118.62,120.89,117.92,120.6,101.700445256,4531393,0,1
2020-07-13,119.78,120.99,118.66,119.2,100.519843073,4644595,0,1
2020-07-10,115.5,118.57,115.29,118.35,99.8030488896,4285088,0,1
2020-07-09,118,118,115.2,115.71,97.576770486,4760875,0,1
2020-07-08,118.06,118.64,116.48,117.71,99.2633450342,5191792,0,1
2020-07-07,119,119.51,117.33,117.58,99.1537176885,4278088,0,1
2020-07-06,121.25,121.85,119.46,120.19,101.354697474,4044188,0,1
2020-07-02,119.69,121.42,119.26,119.7,100.94148671,3745663,0,1
2020-07-01,120.27,121.23,118.37,118.54,99.9632734717,4657168,0,1
2020-06-30,119.19,121.2,119,120.77,101.843804093,3916381,0,1
2020-06-29,117.98,119.78,117.37,119.75,100.983651073,4159488,0,1
2020-06-26,118.26,118.99,116.26,117.19,98.8248356516,10749166,0,1
2020-06-25,116.76,119.21,116.1,119.03,100.376484236,6128720,0,1
2020-06-24,118.32,118.32,115.88,116.42,98.1755044506,6747421,0,1
2020-06-23,122.01,122.9,119.23,119.41,100.6969334,6628278,0,1
2020-06-22,122.12,122.5,120.53,121.07,102.096790275,4762601,0,1
2020-06-19,126.17,126.82,122.25,122.47,103.277392459,8098994,0,1
2020-06-18,123,124.4,122.33,124.16,104.702547952,2860286,0,1
2020-06-17,125.83,126.25,123.4,124.15,104.694115079,3153862,0,1
2020-06-16,125,127.5,123.16,125.15,105.537402353,5605791,0,1
2020-06-15,119.19,122.37,118.29,121.65,102.585896894,5148756,0,1
2020-06-12,121.25,123.12,119.28,121.91,102.805151585,6218003,0,1
2020-06-11,126.03,126.1,117.84,118.01,99.5163312164,11753674,0,1
2020-06-10,132.15,132.23,129.8,129.87,109.517718287,4725055,0,1
2020-06-09,133.52,133.6,131.02,131.87,111.204292835,5391520,0,1
2020-06-08,132.27,135.88,132.27,135.75,114.476247459,5368387,0,1
2020-06-05,133.89,134.23,131.75,132.06,111.364517417,5892718,0,1
2020-06-04,127.78,128.95,127.02,128.89,108.691296759,3864131,0,1
2020-06-03,127.15,129.6,127,129.05,108.826222722,3913804,0,1
2020-06-02,125.67,126,124.66,126,106.254196536,2976908,0,1
2020-06-01,124.64,125.75,124.03,124.89,105.318147662,2867306,0,1
2020-05-29,123.67,125.13,122.24,124.9,105.326580535,7929905,0,1
2020-05-28,126.87,126.97,124.22,124.53,105.014564244,3915224,0,1
2020-05-27,123.94,125.83,123.47,125.54,105.86628439,5725163,0,1
2020-05-26,121.3,122.62,121.01,121.76,102.678658494,5467436,0,1
2020-05-22,119.37,119.47,117.59,118.39,99.8367803805,4179906,0,1
2020-05-21,120.99,121.72,118.97,119.12,100.452380091,4018329,0,1
2020-05-20,120.93,122.47,120.6,121.38,102.35820933,3840563,0,1
2020-05-19,121.19,122.17,120.14,120.29,101.439026201,3239964,0,1
2020-05-18,119.88,122.36,119.75,121.56,102.510001039,4205425,0,1
2020-05-15,115.93,117.39,115.25,116.98,98.6477453241,4785773,0,1
2020-05-14,114.57,117.09,111.81,116.95,98.6224467058,5255607,0,1
2020-05-13,119.95,119.99,114.85,115.73,97.5936362314,5874676,0,1
2020-05-12,123.01,124.32,120.26,120.26,101.413727583,4779635,0,1
2020-05-11,121.81,123.45,120.67,122.59,103.378586932,3533382,0,1
2020-05-08,122.67,123.23,121.06,122.99,103.715901841,5002450,0,1
2020-05-07,122.98,123.26,120.85,121.23,102.231716239,4412047,1.63,1
2020-05-06,123.24,124.05,122.41,123.17,102.489667013,3861081,0,1
2020-05-05,123.39,124.32,122.47,122.58,101.998728444,3897761,0,1
